#{"t_start": 1597825671.7083817, "env_id": null}
r,l,t
0.0,303,840.191537
0.0,303,843.37802
0.0,303,846.158588
0.0,303,849.848725
0.0,303,853.709404
0.0,303,857.107321
0.0,303,859.951718
0.0,303,862.944717
0.0,303,865.546762
0.0,303,868.50685
0.0,303,871.893796
0.0,303,875.09823
0.0,303,878.896079
0.0,303,882.261083
0.0,303,885.145373
0.0,303,887.674612
0.0,303,890.002389
0.0,303,892.622386
0.0,303,894.924232
0.0,303,897.463446
0.0,303,899.7623
0.0,303,902.451114
0.0,303,905.050705
0.0,303,907.730076
0.0,303,910.225405
0.0,303,912.975055
0.0,303,915.472381
0.0,303,918.884259
0.0,303,922.026859
0.0,303,924.949049
0.0,303,928.050758
0.0,303,931.14349
0.0,303,936.879158
0.0,303,939.919031
0.0,303,942.382447
0.0,303,945.35151
0.0,303,947.866787
0.0,303,950.743098
0.0,303,953.232444
0.0,303,955.92026
0.0,303,958.601094
0.0,303,961.478541
0.0,303,964.642962
0.0,303,967.573132
0.0,303,970.061678
0.0,303,972.717112
0.0,303,975.276272
0.0,303,978.01896
0.0,303,980.720128
0.0,303,983.24739
0.0,303,986.343114
0.0,303,989.200982
0.0,303,991.980552
0.0,303,994.385125
0.0,303,997.527579
0.0,303,1000.666058
0.0,303,1004.130843
0.0,303,1007.471486
0.0,303,1010.345802
0.0,303,1012.914935
0.0,303,1015.192846
0.0,303,1017.661248
0.0,303,1020.6343
0.0,303,1023.082757
0.0,303,1026.297242
0.0,303,1029.443934
0.0,303,1032.458452
0.0,303,1035.174253
0.0,303,1038.036066
0.0,303,1040.799918
0.0,303,1043.739822
0.0,303,1046.268093
0.0,303,1049.066123
0.0,303,1051.756961
0.0,303,1054.756449
0.0,303,1057.294665
0.0,303,1060.044315
0.0,303,1062.748601
0.0,303,1065.901289
0.0,303,1068.87837
0.0,303,1071.593112
0.0,303,1074.49735
0.0,303,1077.836424
0.0,303,1080.907216
0.0,303,1083.527212
0.0,303,1086.563098
0.0,303,1089.394529
0.0,303,1092.242914
0.0,303,1094.750212
0.0,303,1097.161768
0.0,303,1099.685416
0.0,303,1102.124763
0.0,303,1107.62558
0.0,303,1110.43906
0.0,303,1112.996731
0.0,303,1115.612739
0.0,303,1118.283598
0.0,303,1121.002332
0.0,303,1124.047192
0.0,303,1127.049168
0.0,303,1130.270557
0.0,303,1133.457039
0.0,303,1136.051105
0.0,303,1139.252547
0.0,303,1141.915429
0.0,303,1144.539415
0.0,303,1146.940868
0.0,303,1150.073521
0.0,303,1152.526472
0.0,303,1155.264154
0.0,303,1158.149485
0.0,303,1160.487759
0.0,303,1163.319717
0.0,303,1166.06438
0.0,303,1168.666425
0.0,303,1171.583628
0.0,303,1174.284407
0.0,303,1177.828198
0.0,303,1181.071528
0.0,303,1184.309872
0.0,303,1186.708459
0.0,303,1189.028298
0.0,303,1191.454773
0.0,303,1193.915195
0.0,303,1196.420499
0.0,303,1199.459377
0.0,303,1202.300781
0.0,303,1204.84099
0.0,303,1207.140842
0.0,303,1209.724935
0.0,303,1212.127513
0.0,303,1214.576966
0.0,303,1217.000487
0.0,303,1219.351203
0.0,303,1221.76176
0.0,303,1224.106491
0.0,303,1226.514057
0.0,303,1228.900677
0.0,303,1231.193549
0.0,303,1233.510355
0.0,303,1235.812202
0.0,303,1238.250685
0.0,303,1240.793886
0.0,303,1243.097727
0.0,303,1246.452759
0.0,303,1248.846362
0.0,303,1251.328585
0.0,303,1254.185149
0.0,303,1256.765252
0.0,303,1259.360343
0.0,303,1261.98433
0.0,303,1264.618289
0.0,303,1267.135561
0.0,303,1270.107615
0.0,303,1272.793436
0.0,303,1275.385535
0.0,303,1277.837979
0.0,303,1283.012155
0.0,303,1285.769777
0.0,303,1288.465572
0.0,303,1290.834241
0.0,303,1293.471191
0.0,303,1296.099166
0.0,303,1298.950544
0.0,303,1301.630385
0.0,303,1304.393003
0.0,303,1307.427884
0.0,303,1310.815454
0.0,303,1313.470409
0.0,303,1316.224048
0.0,303,1319.308364
0.0,303,1322.568741
0.0,303,1325.414896
0.0,303,1328.335899
0.0,303,1330.868197
0.0,303,1333.601011
0.0,303,1336.117284
0.0,303,1338.809088
0.0,303,1341.58567
0.0,303,1344.381199
0.0,303,1346.899975
0.0,303,1349.718442
0.0,303,1352.483052
0.0,303,1355.333434
0.0,303,1357.954427
0.0,303,1360.452748
0.0,303,1363.172478
0.0,303,1365.699723
0.0,303,1369.151498
0.0,303,1372.22528
0.0,303,1375.425724
0.0,303,1379.111847
0.0,303,1382.544672
0.0,303,1385.877026
0.0,303,1389.099411
0.0,303,1392.18317
0.0,303,1396.18547
0.0,303,1400.753261
0.0,303,1404.940069
0.0,303,1408.800189
0.0,303,1412.543185
0.0,303,1416.338039
0.0,303,1419.962351
0.0,303,1422.512535
0.0,303,1424.868238
0.0,303,1427.713633
0.0,303,1430.386487
0.0,303,1432.990526
0.0,303,1436.178006
0.0,303,1438.49182
0.0,303,1441.072921
0.0,303,1444.429949
0.0,303,1448.18192
0.0,303,1451.832185
0.0,303,1455.252073
0.0,303,1458.760694
0.0,303,1462.122707
0.0,303,1465.380998
0.0,303,1468.287229
0.0,303,1470.829432
0.0,303,1473.29185
0.0,303,1475.76125
0.0,303,1481.081029
0.0,303,1483.781322
0.0,303,1486.435227
0.0,303,1489.057729
0.0,303,1491.58697
0.0,303,1494.119199
0.0,303,1496.721245
0.0,303,1499.133796
0.0,303,1501.563301
0.0,303,1504.010758
0.0,303,1506.466195
0.0,303,1509.211857
0.0,303,1511.688237
0.0,303,1514.246397
0.0,303,1516.607088
0.0,303,1519.065516
0.0,303,1521.515966
0.0,303,1523.929514
0.0,303,1526.318133
0.0,303,1529.438789
0.0,303,1531.970022
0.0,303,1534.572066
0.0,303,1537.505225
0.0,303,1539.865916
0.0,303,1542.510845
0.0,303,1545.155775
0.0,303,1548.360718
0.0,303,1551.119852
0.0,303,1553.825618
0.0,303,1556.4137
0.0,303,1558.921995
0.0,303,1561.362472
0.0,303,1563.864782
0.0,303,1566.296283
0.0,303,1569.165614
0.0,303,1571.989066
0.0,303,1574.674886
0.0,303,1577.160242
0.0,303,1579.751826
0.0,303,1582.280067
0.0,303,1584.973866
0.0,303,1587.916002
0.0,303,1591.157338
0.0,303,1593.966828
