ODB Name,Step,Frame,Part Instance Name, Element Label,         IntPt,X,Y,Z,Section Name,Material Name,Section Point,       S-Mises
C:/temp/test.odb,Step-1,Increment     10: Step Time =    1.000,"PART-1-1",            29,             1,            7.,           11.,            0.,"ASSEMBLY_PART-1-1__PICKEDSET3","GUM","",   113.631E-03
C:/temp/test.odb,Step-1,Increment     10: Step Time =    1.000,"PART-1-1",            30,             1,            9.,           11.,            0.,"ASSEMBLY_PART-1-1__PICKEDSET3","GUM","",   152.276E-03
C:/temp/test.odb,Step-1,Increment     10: Step Time =    1.000,"PART-1-1",            31,             1,            1.,           13.,            0.,"ASSEMBLY_PART-1-1__PICKEDSET3","GUM","",   98.5743E-03
C:/temp/test.odb,Step-1,Increment     10: Step Time =    1.000,"PART-1-1",            32,             1,            3.,           13.,            0.,"ASSEMBLY_PART-1-1__PICKEDSET3","GUM","",   59.0129E-03
C:/temp/test.odb,Step-1,Increment     10: Step Time =    1.000,"PART-1-1",            33,             1,            5.,           13.,            0.,"ASSEMBLY_PART-1-1__PICKEDSET3","GUM","",   106.845E-03
C:/temp/test.odb,Step-1,Increment     10: Step Time =    1.000,"PART-1-1",            34,             1,            7.,           13.,            0.,"ASSEMBLY_PART-1-1__PICKEDSET3","GUM","",   126.393E-03
C:/temp/test.odb,Step-1,Increment     10: Step Time =    1.000,"PART-1-1",            35,             1,            9.,           13.,            0.,"ASSEMBLY_PART-1-1__PICKEDSET3","GUM","",   141.650E-03
C:/temp/test.odb,Step-1,Increment     10: Step Time =    1.000,"PART-1-1",            36,             1,            1.,           15.,            0.,"ASSEMBLY_PART-1-1__PICKEDSET3","GUM","",   137.587E-03
C:/temp/test.odb,Step-1,Increment     10: Step Time =    1.000,"PART-1-1",            37,             1,            3.,           15.,            0.,"ASSEMBLY_PART-1-1__PICKEDSET3","GUM","",   99.2414E-03
C:/temp/test.odb,Step-1,Increment     10: Step Time =    1.000,"PART-1-1",            38,             1,            5.,           15.,            0.,"ASSEMBLY_PART-1-1__PICKEDSET3","GUM","",   87.5266E-03
C:/temp/test.odb,Step-1,Increment     10: Step Time =    1.000,"PART-1-1",            39,             1,            7.,           15.,            0.,"ASSEMBLY_PART-1-1__PICKEDSET3","GUM","",   129.196E-03
C:/temp/test.odb,Step-1,Increment     10: Step Time =    1.000,"PART-1-1",            40,             1,            9.,           15.,            0.,"ASSEMBLY_PART-1-1__PICKEDSET3","GUM","",   222.350E-03
C:/temp/test.odb,Step-1,Increment     10: Step Time =    1.000,"PART-1-1",            41,             1,            1.,           17.,            0.,"ASSEMBLY_PART-1-1__PICKEDSET3","GUM","",   153.000E-03
C:/temp/test.odb,Step-1,Increment     10: Step Time =    1.000,"PART-1-1",            42,             1,            3.,           17.,            0.,"ASSEMBLY_PART-1-1__PICKEDSET3","GUM","",   88.0462E-03
C:/temp/test.odb,Step-1,Increment     10: Step Time =    1.000,"PART-1-1",            43,             1,            5.,           17.,            0.,"ASSEMBLY_PART-1-1__PICKEDSET3","GUM","",   116.888E-03
C:/temp/test.odb,Step-1,Increment     10: Step Time =    1.000,"PART-1-1",            44,             1,            7.,           17.,            0.,"ASSEMBLY_PART-1-1__PICKEDSET3","GUM","",   180.030E-03
C:/temp/test.odb,Step-1,Increment     10: Step Time =    1.000,"PART-1-1",            45,             1,            9.,           17.,            0.,"ASSEMBLY_PART-1-1__PICKEDSET3","GUM","",   188.608E-03
C:/temp/test.odb,Step-1,Increment     10: Step Time =    1.000,"PART-1-1",            46,             1,            1.,           19.,            0.,"ASSEMBLY_PART-1-1__PICKEDSET3","GUM","",   207.863E-03
C:/temp/test.odb,Step-1,Increment     10: Step Time =    1.000,"PART-1-1",            47,             1,            3.,           19.,            0.,"ASSEMBLY_PART-1-1__PICKEDSET3","GUM","",   85.0093E-03
C:/temp/test.odb,Step-1,Increment     10: Step Time =    1.000,"PART-1-1",            48,             1,            5.,           19.,            0.,"ASSEMBLY_PART-1-1__PICKEDSET3","GUM","",   56.2117E-03
C:/temp/test.odb,Step-1,Increment     10: Step Time =    1.000,"PART-1-1",            49,             1,            7.,           19.,            0.,"ASSEMBLY_PART-1-1__PICKEDSET3","GUM","",   160.508E-03
C:/temp/test.odb,Step-1,Increment     10: Step Time =    1.000,"PART-1-1",            50,             1,            9.,           19.,            0.,"ASSEMBLY_PART-1-1__PICKEDSET3","GUM","",   285.171E-03
